Image Index,Light_green Num Leaves,Medium_green Num Leaves,Dark_green Num Leaves,Light_green Total Pixel Count,Medium_green Total Pixel Count,Dark_green Total Pixel Count
0,43,15,20,268607.5,957409.5,1208005.5
1,38,10,74,43903.0,5990.5,307465.5
2,41,12,11,90316.5,864252.5,1227586.0
3,40,13,20,85995.5,827762.0,1249548.5
4,25,26,26,25126.0,1129232.5,1478277.0
5,15,39,28,16665.5,1153066.5,1486808.0
6,20,29,24,24912.0,994043.5,1458320.0
7,19,19,17,34674.5,1128473.5,1455432.0
8,18,42,9,33377.5,779545.5,1417210.0
9,0,0,0,0,0,0
10,22,46,22,59402.0,471950.5,1102967.0
11,21,70,21,93409.5,258843.0,1011686.0
12,0,0,0,0,0,0
13,23,44,32,75350.5,303065.5,896029.0
14,34,40,42,114077.0,292098.0,837202.0
15,25,28,34,194745.5,205578.5,541584.5
16,26,25,36,254899.5,169170.5,535632.5
17,0,0,0,0,0,0
18,24,33,35,248255.0,219788.5,619071.5
19,29,31,28,210855.0,304034.0,664953.0
20,32,33,20,179669.5,283531.0,623579.5
21,34,19,28,200547.0,248390.0,598539.5
22,35,19,68,334028.0,59933.0,211253.0
23,24,17,25,90848.0,278578.5,611041.5
24,20,23,21,81568.5,318848.5,619820.5
25,17,29,20,52139.0,257458.0,569121.0
26,14,22,26,92725.0,294462.0,637647.0
27,19,27,44,89643.0,294443.0,731297.0
28,18,18,28,67191.5,200960.5,534234.5
29,17,21,46,78287.0,261200.0,642531.5
30,18,14,45,72918.0,205077.0,541653.0
31,20,13,18,48730.5,88931.5,332905.5
32,13,23,22,55289.0,49247.0,281183.5
33,13,19,28,53884.0,75698.0,321079.5
34,18,19,21,58862.0,75385.5,352210.5
35,0,0,0,0,0,0
36,20,20,31,72290.5,89082.0,352220.5
37,11,10,22,67941.0,36803.5,264163.5
38,13,16,34,70465.5,45714.5,312259.5
39,15,10,24,59446.5,32079.5,243615.5
40,19,10,24,76456.5,32467.5,246325.5
41,14,29,25,43988.5,63167.0,340476.5
42,14,16,22,47233.0,32032.5,308806.5
43,12,17,17,55908.0,15597.5,326935.0
44,17,17,18,49791.0,12875.5,308744.5
45,11,13,20,41195.0,14733.0,316962.0
